Nome;Idade;Peso (kg);Altura (m)
Davi Pereira;20/04/1945;112.95;1.75
Emanuelly Cardoso;07/03/1938;89.73;1.73
Dra. Maria Fernanda Campos;12/03/1969;50.38;1.78
Bruno Gomes;15/04/1912;131.59;1.44
Srta. Nina Castro;25/10/2006;139.17;1.87
Emanuel Alves;23/09/1979;114.06;1.75
Bruna Santos;11/07/1976;105.17;2.09
Pietro da Cunha;11/05/1997;43.56;1.83
Julia da Luz;16/10/1919;114.02;1.41
Jo∆o Lucas da Cruz;08/02/1987;68.31;1.67
Luiz Henrique Nascimento;27/11/1987;149.77;1.9
Nicolas Rocha;23/01/1971;110.16;2.02
Marcos Vinicius da Luz;17/05/1937;148.24;2.09
Jo∆o Felipe Santos;15/04/1924;139.87;1.46
Davi Lucca da Cunha;19/12/1997;42.27;1.64
Luiz Fernando da Conceiá∆o;13/02/1930;63.81;1.62
Ana L°via Ferreira;28/06/1915;80.72;1.56
Davi Lucca Cardoso;05/11/1913;79.9;2.1
Jo∆o Dias;20/02/1951;129.01;1.4
Valentina Ramos;23/06/1903;69.74;1.64
Kevin Farias;19/10/2019;79.01;2.05
Luiz Fernando Monteiro;21/05/1914;104.25;1.55
Clara Dias;07/09/2002;113.54;1.51
Giovanna Azevedo;25/03/1939;108.88;1.54
Nicole Moura;07/11/1951;89.64;1.85
Yuri Silva;14/02/1905;127.27;2.05
Valentina Barros;05/04/1929;114.22;1.47
Maità da Cruz;14/05/1912;103.06;1.86
Ian da Mota;02/02/1992;81.15;1.64
Sra. Nicole Carvalho;02/10/1966;124.48;1.64
Maria Alice Ribeiro;01/04/1918;133.8;1.74
Ot†vio da Luz;26/05/2010;52.16;2.02
Lorenzo Arag∆o;20/11/2024;97.13;1.89
Maria da Costa;09/01/1972;61.72;1.74
Elisa da Paz;05/03/1944;65.29;1.44
Davi Lucas das Neves;07/02/1929;94.59;1.62
Sophie Barbosa;11/03/1992;131.58;1.91
Jo∆o Felipe Fogaáa;28/06/1996;112.59;1.92
Bryan Pires;29/11/1979;49.37;1.47
Stephany Arag∆o;15/01/2001;86.09;1.59
Camila Ferreira;01/12/1953;80.47;1.89
Davi Sales;17/08/1924;77.8;1.98
Lucca Ara£jo;20/04/1963;65.85;1.63
Pedro Lucas Farias;07/04/1917;82.81;1.8
Emanuel Souza;18/04/1980;112.9;2.03
Raquel Cunha;18/06/1900;72.72;1.6
Mirella Moura;19/07/1980;132.81;1.78
Lucas Martins;28/01/1968;127.56;1.51
Helena das Neves;08/02/1941;136.92;1.53
Sarah Lima;07/10/1981;137.02;1.52
Vitor Hugo Monteiro;31/01/1922;94.81;1.57
Dra. Sophie Santos;10/05/1917;149.56;1.56
Sophie Arag∆o;29/08/1900;77.97;1.67
Srta. Brenda Rodrigues;23/05/1963;83.09;1.44
Nicole Teixeira;20/12/1984;86.97;1.52
J£lia Arag∆o;05/03/1974;41.72;1.53
Vitor Hugo da Cunha;07/08/1984;90.28;1.6
Emilly Cavalcanti;21/03/1916;131.03;2.04
Bryan Gonáalves;06/07/1975;125.38;2.06
Emanuella Nunes;12/10/1980;96.71;1.93
Davi Freitas;08/05/1922;147.51;1.57
Breno Gomes;28/04/1902;63.07;1.75
Clarice Duarte;04/05/1947;71.34;1.56
Joaquim Pinto;03/11/1933;91.15;1.77
Sophie Cunha;08/04/2012;97.06;1.58
Augusto Freitas;06/05/1918;51.5;1.72
Vit¢ria Cardoso;09/03/1959;85.49;1.69
Dra. Sabrina Santos;25/02/1965;141.62;2
Srta. Melissa Pereira;18/06/1976;115.6;1.61
Caroline Oliveira;25/04/2024;89.93;1.44
Ot†vio Pinto;12/11/1938;60.34;1.72
Larissa Gomes;30/06/1973;103.2;1.49
Alexia Rocha;16/04/1967;44.43;1.53
Antìnio Gomes;27/08/1929;93.59;1.58
Sabrina Duarte;19/07/2016;89.72;1.4
Jo∆o Gabriel Duarte;24/12/1961;116.7;1.58
J£lia Ferreira;17/03/1940;66.56;1.42
Augusto Jesus;28/10/1961;76.49;2.01
Maria Eduarda das Neves;29/08/1921;78.47;1.53
Daniela da Cunha;05/02/2010;93.03;2.1
Nicole Moreira;30/01/1922;64.68;2.01
Calebe da Paz;22/08/1985;100.61;1.68
Daniela da Cunha;04/03/1966;123.26;1.61
Isabel Porto;03/08/2010;72.2;1.68
Renan Cardoso;19/02/1929;67.51;1.44
Ryan Lopes;13/02/2002;129.03;1.44
Lucas da Luz;30/07/1916;95.23;1.98
Srta. Vit¢ria Costa;26/02/1904;96.58;1.83
Jo∆o Guilherme Correia;20/01/1986;43.73;1.94
Alexandre Viana;12/02/1939;66.57;1.79
Theo Peixoto;21/08/2014;132.82;1.51
Jo∆o Miguel Alves;25/01/1927;111.02;1.81
Enrico Campos;03/09/1961;123.37;1.5
Luiz Miguel Oliveira;04/04/1910;85.23;1.91
AndrÇ Monteiro;31/08/2006;76.96;1.9
Stephany Silva;16/07/1922;68.01;1.45
Dra. Cec°lia Cardoso;15/11/1972;81.33;1.84
Davi da Luz;16/02/1913;105.61;1.59
Luiza Gonáalves;14/08/1973;74.63;2.09
Vitor Hugo Almeida;29/05/1951;144.67;1.96
Sra. Mariana da Paz;23/08/1980;108.23;1.62
Pedro Miguel Ferreira;01/07/1996;47.47;1.72
Brenda Nogueira;08/02/1913;110.82;1.78
Giovanna Vieira;03/01/1918;148.46;1.94
Ana Carolina Porto;03/04/1921;93.44;1.74
Ian Rezende;23/01/1948;55;1.62
Davi da Conceiá∆o;01/04/1942;103.36;1.44
Alexia da Rosa;22/07/1957;147.85;1.98
Anthony Gomes;12/07/2020;40.95;1.92
Larissa Barros;19/07/1918;100.16;1.7
Mirella Silva;01/07/1907;145.12;1.64
Nicole Costela;26/11/1916;49.98;1.87
Pietra da Mata;26/05/1938;143.96;1.52
J£lia Almeida;08/05/2015;78.93;1.65
Danilo Nogueira;18/06/1915;94.53;1.53
Amanda Novaes;23/11/2001;81.19;1.61
Anthony Sales;27/08/1900;76.13;1.87
Isaac Almeida;04/03/1976;63.14;1.46
Murilo Freitas;15/10/1933;53.52;1.47
Davi Silveira;22/03/1917;142.88;1.72
Pedro Miguel Carvalho;16/03/1953;101.25;1.79
Agatha da Cunha;12/06/1918;106.41;1.78
Isaac da Luz;19/05/1918;65.61;1.64
Jo∆o Lucas Pereira;24/06/1927;46.04;1.51
Luigi Vieira;24/06/1920;70.52;1.48
Kamilly Ramos;17/11/1965;111.79;1.46
Dra. Ana Carolina Freitas;15/10/1901;129.88;1.64
Bruna Caldeira;21/02/2017;61.24;1.99
Luiz Fernando Moreira;27/07/1952;40.26;1.85
Gustavo Henrique Viana;31/03/1909;131.29;1.84
Fernanda Pinto;17/05/1905;74.11;1.76
Emanuelly Cunha;03/02/1905;52.74;1.69
Stephany Barbosa;17/04/1901;62.19;1.43
Emanuella da Paz;24/07/1980;41.27;1.69
Leonardo Peixoto;13/02/1978;56.55;1.91
Dra. Ana Laura Mendes;04/06/1993;51.77;1.8
Jo∆o Castro;25/03/1996;147.62;2.04
Yasmin da Rosa;24/12/1956;86.62;1.89
Yago Barros;22/03/1987;62.56;2
Catarina Almeida;12/02/1958;63.41;1.91
Luiz Ot†vio Ramos;05/12/1942;125.2;2.05
Giovanna Souza;20/06/1982;68.81;1.9
Luiz Gustavo Martins;26/02/1960;131.85;1.83
Davi Lucas Nunes;11/09/1903;121.3;2.06
Ana Laura Caldeira;25/04/1922;81.13;1.88
Lucca da Costa;20/04/1979;49.66;1.63
Renan Monteiro;17/09/1958;131.08;1.86
Marcela Cavalcanti;06/04/2021;123.24;1.91
Lara da Paz;25/03/1932;142.65;1.99
Maità Rocha;27/10/1947;71.87;1.83
Breno Alves;12/02/1945;48.46;1.56
Augusto Azevedo;28/08/1958;106.6;1.7
Agatha Sales;20/01/1978;115.26;1.98
Daniela Melo;13/02/1969;52.54;1.43
Diego Correia;18/03/1994;124.42;1.98
Dra. Ana Julia Cardoso;15/04/1969;101.93;2.01
Carlos Eduardo Pinto;10/10/2003;115.98;1.62
Sabrina Novaes;09/03/1974;131.14;1.79
Danilo Lima;13/03/1935;111.32;1.41
Ana Luiza Cunha;07/09/1954;139.6;1.97
Gabriela Moraes;17/10/1942;140.13;2.07
Eduardo da Mota;02/07/2008;112.67;1.65
Jo∆o Miguel Barbosa;28/06/2012;72.06;2.08
Fernanda Campos;15/12/2002;55.08;1.91
Arthur Cunha;21/04/1955;121.58;1.6
Emanuelly Pires;31/07/1996;65.17;1.6
J£lia Almeida;28/09/1955;66.79;1.62
Ana L°via Nascimento;11/07/1984;50.07;1.6
Maria Cec°lia Castro;21/10/2016;87.37;1.63
